====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
====================== SUCCESS ======================
('min', -283.8054402316334, 93.62363523014861, 117.83397828352922)
('max', -214.8129700418977, 110.8678377928785, 121.88068120626423)
('dlp', -258.3213517388414, 102.5916850197165, 105.64227080151394, 15.04553156394701)
25.04136562347412
(0, -255.72298639582613, -132.60009362517405, 121.03299334877259, 0.0)
(0.03932380676269531, -255.72298639582613, -132.60009362517405, 121.03299334877259, -0.0035573143177458633)
(0.07950282096862793, -255.72298639582613, -132.60009362517405, 121.03299334877259, -0.0035573143177458633)
(0.119781494140625, -255.581213087925, -132.91077856972169, 120.90497692045612, -0.007429873633549633)
(0.15954303741455078, -255.581213087925, -132.91077856972169, 120.90497692045612, -0.007429873633549633)
(0.1994645595550537, -255.581213087925, -132.91077856972169, 120.90497692045612, -0.007429873633549633)
(0.23940181732177734, -255.581213087925, -132.91077856972169, 120.90497692045612, -0.00262434566355374)
(0.27974462509155273, -255.581213087925, -132.91077856972169, 120.90497692045612, -0.00262434566355374)
(0.3196983337402344, -255.581213087925, -132.91077856972169, 120.90497692045612, -0.00262434566355374)
(0.35964465141296387, -255.56272214442004, -133.3441752958561, 120.17844290316185, 0.012065941212618725)
(0.39975762367248535, -255.56272214442004, -133.3441752958561, 120.17844290316185, 0.012065941212618725)
(0.43952226638793945, -255.56272214442004, -133.3441752958561, 120.17844290316185, 0.00447795148546426)
(0.47998046875, -255.56272214442004, -133.3441752958561, 120.17844290316185, 0.00447795148546426)
(0.5196223258972168, -255.56272214442004, -133.3441752958561, 120.17844290316185, 0.00447795148546426)
(0.5598444938659668, -255.46331195768425, -133.6846106580586, 118.44671072070837, -0.032010467130353604)
(0.5998072624206543, -255.46331195768425, -133.6846106580586, 118.44671072070837, -0.032010467130353604)
(0.6396884918212891, -255.46331195768425, -133.6846106580586, 118.44671072070837, -0.018893548996530285)
(0.6799631118774414, -255.46331195768425, -133.6846106580586, 118.44671072070837, -0.018893548996530285)
(0.7199921607971191, -255.46331195768425, -133.6846106580586, 118.44671072070837, -0.018893548996530285)
(0.7599279880523682, -255.25992530815148, -133.70624373359252, 116.38917960912245, -0.0724783122099808)
(0.7998309135437012, -255.25992530815148, -133.70624373359252, 116.38917960912245, -0.0724783122099808)
(0.8397514820098877, -255.25992530815148, -133.70624373359252, 116.38917960912245, -0.06126595482339958)
(0.8800349235534668, -255.25992530815148, -133.70624373359252, 116.38917960912245, -0.06126595482339958)
(0.9198503494262695, -255.25992530815148, -133.70624373359252, 116.38917960912245, -0.06126595482339958)
(0.9599490165710449, -255.25992530815148, -133.70624373359252, 116.38917960912245, -0.06126595482339958)
(1.0000293254852295, -255.25992530815148, -133.70624373359252, 116.38917960912245, -0.06126595482339958)
(1.0404026508331299, -254.9044483462932, -133.4725020528321, 114.20064553864769, -0.07869220268576171)
(1.080143928527832, -254.9044483462932, -133.4725020528321, 114.20064553864769, -0.07869220268576171)
(1.1201825141906738, -254.9044483462932, -133.4725020528321, 114.20064553864769, -0.07869220268576171)
(1.1606218814849854, -254.5730866513152, -133.27159997158708, 112.16809087903117, -0.054286574022050615)
(1.2004730701446533, -254.5730866513152, -133.27159997158708, 112.16809087903117, -0.054286574022050615)
(1.2407517433166504, -254.5730866513152, -133.27159997158708, 112.16809087903117, -0.05832703668386863)
