====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
====================== SUCCESS ======================
('min', -456.21531191144965, -232.21077185377965, 111.42057600595525)
('max', -409.70582256622384, -220.26743916178376, 114.3263975487585)
('dlp', -436.6853634911588, -227.62786512313002, 96.38402940846215, 11.664581588946275)
26.327896118164062
(0, -440.04368961005616, -425.7453256598855, 112.77923130343422, 0.027925131359648248)
(0.03929018974304199, -439.9541258942116, -425.70797893727536, 113.0584386477231, 0.027925131359648248)
(0.07920575141906738, -439.9541258942116, -425.70797893727536, 113.0584386477231, -0.08616309226265173)
(0.11932873725891113, -439.9541258942116, -425.70797893727536, 113.0584386477231, -0.08616309226265173)
(0.1593937873840332, -439.9541258942116, -425.70797893727536, 113.0584386477231, -0.08616309226265173)
(0.19942283630371094, -440.02409271313024, -425.8102097565415, 113.07598386507757, 0.09644353177341358)
(0.23928380012512207, -440.02409271313024, -425.8102097565415, 113.07598386507757, 0.09644353177341358)
(0.2797398567199707, -440.02409271313024, -425.8102097565415, 113.07598386507757, 0.12447055603790957)
(0.3195061683654785, -440.02409271313024, -425.8102097565415, 113.07598386507757, 0.12447055603790957)
(0.35953259468078613, -440.0273401693313, -425.8160001922128, 112.70579437572091, 0.132744436645714)
(0.3997385501861572, -440.0273401693313, -425.8160001922128, 112.70579437572091, 0.132744436645714)
(0.43961477279663086, -440.0273401693313, -425.8160001922128, 112.70579437572091, 0.1536062664600113)
(0.47951626777648926, -440.0273401693313, -425.8160001922128, 112.70579437572091, 0.1536062664600113)
(0.5196809768676758, -440.0273401693313, -425.8160001922128, 112.70579437572091, 0.1536062664600113)
(0.5597531795501709, -440.1924853218611, -425.7497509175065, 110.85024286455595, 0.09190511349502728)
(0.5997264385223389, -440.1924853218611, -425.7497509175065, 110.85024286455595, 0.09190511349502728)
(0.6396458148956299, -440.1924853218611, -425.7497509175065, 110.85024286455595, 0.07225847734343915)
(0.6796035766601562, -440.1924853218611, -425.7497509175065, 110.85024286455595, 0.07225847734343915)
(0.7197892665863037, -440.1924853218611, -425.7497509175065, 110.85024286455595, 0.07225847734343915)
(0.7599027156829834, -440.3814001347928, -425.88147724249905, 108.49289994327363, 0.010200004792135786)
(0.7998526096343994, -440.3814001347928, -425.88147724249905, 108.49289994327363, 0.010200004792135786)
(0.8398356437683105, -440.3814001347928, -425.88147724249905, 108.49289994327363, 0.010200004792135786)
(0.8797488212585449, -440.3814001347928, -425.88147724249905, 108.49289994327363, 0.03649630549051963)
(0.919987678527832, -440.3814001347928, -425.88147724249905, 108.49289994327363, 0.03649630549051963)
(0.9599878787994385, -440.54125690335934, -425.97269236996857, 106.26523849472763, 0.041107250753647406)
(0.9999864101409912, -440.54125690335934, -425.97269236996857, 106.26523849472763, 0.041107250753647406)
(1.0399041175842285, -440.54125690335934, -425.97269236996857, 106.26523849472763, 0.041107250753647406)
(1.079932689666748, -440.54125690335934, -425.97269236996857, 106.26523849472763, 0.10048889333371669)
(1.1201229095458984, -440.54125690335934, -425.97269236996857, 106.26523849472763, 0.10048889333371669)
(1.1602067947387695, -440.2166296467143, -425.93995037621875, 104.44335654919404, 0.10553485136686191)
(1.200002670288086, -440.2166296467143, -425.93995037621875, 104.44335654919404, 0.10553485136686191)
