====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
====================== SUCCESS ======================
('min', -620.1515621721796, -166.6889323772578, 85.2312596103366)
('max', -561.2778061362503, -152.25055511199483, 87.98473217694121)
('dlp', -594.3805081532026, -162.10518958667757, 70.05578848330336, 12.390612669127458)
26.398515701293945
(0, -594.9916183471582, -366.3479752617071, 88.83517971245604, 0.0)
(0.039095401763916016, -594.9916183471582, -366.3479752617071, 88.83517971245604, 0.0)
(0.07875561714172363, -595.3159569712665, -365.1643669945779, 88.67164110691208, 0.18138176678377427)
(0.11889982223510742, -595.3159569712665, -365.1643669945779, 88.67164110691208, 0.18138176678377427)
(0.15921807289123535, -595.3159569712665, -365.1643669945779, 88.67164110691208, 0.17517441131239053)
(0.19902420043945312, -595.3159569712665, -365.1643669945779, 88.67164110691208, 0.17517441131239053)
(0.2385103702545166, -595.3159569712665, -365.1643669945779, 88.67164110691208, 0.17517441131239053)
(0.2785322666168213, -595.2882120747483, -364.518622316848, 88.96993332709464, 0.1987645050201472)
(0.31913232803344727, -595.2882120747483, -364.518622316848, 88.96993332709464, 0.1987645050201472)
(0.35920143127441406, -595.2882120747483, -364.518622316848, 88.96993332709464, 0.2038169205290128)
(0.39913225173950195, -595.2882120747483, -364.518622316848, 88.96993332709464, 0.2038169205290128)
(0.43893980979919434, -595.2882120747483, -364.518622316848, 88.96993332709464, 0.2038169205290128)
(0.4789896011352539, -595.0909807658296, -363.7922219613722, 88.29285773863481, 0.19522233827602697)
(0.5191950798034668, -595.0909807658296, -363.7922219613722, 88.29285773863481, 0.19522233827602697)
(0.5594735145568848, -595.0909807658296, -363.7922219613722, 88.29285773863481, 0.16261575911417836)
(0.5992264747619629, -595.0909807658296, -363.7922219613722, 88.29285773863481, 0.16261575911417836)
(0.6391205787658691, -595.0909807658296, -363.7922219613722, 88.29285773863481, 0.16261575911417836)
(0.6791720390319824, -594.9744159700442, -363.28330262052043, 86.53292629799375, 0.1421962088516544)
(0.7195353507995605, -594.9744159700442, -363.28330262052043, 86.53292629799375, 0.1421962088516544)
(0.7594687938690186, -594.9744159700442, -363.28330262052043, 86.53292629799375, 0.1421962088516544)
(0.7994537353515625, -594.9744159700442, -363.28330262052043, 86.53292629799375, 0.11590925861548484)
(0.8392693996429443, -594.9744159700442, -363.28330262052043, 86.53292629799375, 0.11590925861548484)
(0.8792924880981445, -594.8290264105358, -363.00087261128, 84.89120888487838, 0.10088122902180352)
(0.9197604656219482, -594.8290264105358, -363.00087261128, 84.89120888487838, 0.10088122902180352)
(0.959644079208374, -594.8290264105358, -363.00087261128, 84.89120888487838, 0.10088122902180352)
(0.9995424747467041, -594.8290264105358, -363.00087261128, 84.89120888487838, 0.12540603353005153)
(1.0394370555877686, -594.8290264105358, -363.00087261128, 84.89120888487838, 0.12540603353005153)
(1.0793397426605225, -594.7194018795262, -363.38677649728686, 83.0551858473024, 0.16968998590623663)
(1.1197383403778076, -594.7194018795262, -363.38677649728686, 83.0551858473024, 0.16968998590623663)
(1.159820795059204, -594.7194018795262, -363.38677649728686, 83.0551858473024, 0.16968998590623663)
(1.1996746063232422, -594.7194018795262, -363.38677649728686, 83.0551858473024, 0.1839729986506189)
(1.239583969116211, -594.7194018795262, -363.38677649728686, 83.0551858473024, 0.1839729986506189)
