====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
======================== FAIL =======================
('min', -526.4692197688347, -210.7166719844108, 121.54239345448522)
('max', -505.270523716525, -199.73629542209403, 124.14521646832992)
('dlp', -521.6925966718504, -204.22392758234523, 106.08171714203863, 21.81850221444926)
25.923538208007812
(0, -511.3387304325412, -401.3458586271699, 122.71089614289312, 0.0)
(0.039113759994506836, -511.3387304325412, -401.3458586271699, 122.71089614289312, -0.42829682768781296)
(0.07871460914611816, -511.3387304325412, -401.3458586271699, 122.71089614289312, -0.42829682768781296)
(0.11892461776733398, -511.7370112341192, -400.34231277406946, 123.09342511777389, -0.788838537309676)
(0.1592121124267578, -511.7370112341192, -400.34231277406946, 123.09342511777389, -0.788838537309676)
(0.19908452033996582, -511.7370112341192, -400.34231277406946, 123.09342511777389, -0.788838537309676)
(0.2389066219329834, -511.7370112341192, -400.34231277406946, 123.09342511777389, -1.1317641591507197)
(0.27901721000671387, -511.7370112341192, -400.34231277406946, 123.09342511777389, -1.1317641591507197)
(0.31964945793151855, -511.5803127288354, -399.75019666497997, 122.99785447577958, -1.3958758009809706)
(0.35938310623168945, -511.5803127288354, -399.75019666497997, 122.99785447577958, -1.3958758009809706)
(0.3992431163787842, -511.5803127288354, -399.75019666497997, 122.99785447577958, -1.3958758009809706)
(0.43921351432800293, -511.5803127288354, -399.75019666497997, 122.99785447577958, -1.6317958208160093)
(0.47912073135375977, -511.5803127288354, -399.75019666497997, 122.99785447577958, -1.6317958208160093)
(0.5191967487335205, -511.5803127288354, -399.75019666497997, 122.99785447577958, -1.6317958208160093)
(0.5593438148498535, -511.54876897538315, -399.79282936127606, 121.76677048476722, -1.688249289184789)
(0.5994358062744141, -511.54876897538315, -399.79282936127606, 121.76677048476722, -1.688249289184789)
(0.6393446922302246, -511.54876897538315, -399.79282936127606, 121.76677048476722, -1.7012051655829197)
(0.6792454719543457, -511.54876897538315, -399.79282936127606, 121.76677048476722, -1.7012051655829197)
(0.7192859649658203, -511.54876897538315, -399.79282936127606, 121.76677048476722, -1.7012051655829197)
(0.7595028877258301, -511.4653436301458, -400.279471735853, 119.27510202505677, -1.7214253705654556)
(0.7997317314147949, -511.4653436301458, -400.279471735853, 119.27510202505677, -1.7214253705654556)
(0.8396062850952148, -511.4653436301458, -400.279471735853, 119.27510202505677, -1.6992251482172023)
(0.8793814182281494, -511.4653436301458, -400.279471735853, 119.27510202505677, -1.6992251482172023)
(0.919435977935791, -511.4653436301458, -400.279471735853, 119.27510202505677, -1.6992251482172023)
(0.9600448608398438, -510.9138851443266, -400.8862375689986, 116.67712528545601, -1.722914568503164)
(0.9999825954437256, -510.9138851443266, -400.8862375689986, 116.67712528545601, -1.722914568503164)
(1.0397424697875977, -510.9138851443266, -400.8862375689986, 116.67712528545601, -1.647410574674339)
(1.0795822143554688, -510.9138851443266, -400.8862375689986, 116.67712528545601, -1.647410574674339)
(1.119584083557129, -510.9138851443266, -400.8862375689986, 116.67712528545601, -1.647410574674339)
(1.1601779460906982, -510.51446986921474, -401.08244220191114, 114.80653555368049, -1.6393688262928165)
(1.2002520561218262, -510.51446986921474, -401.08244220191114, 114.80653555368049, -1.6393688262928165)
(1.2402548789978027, -510.51446986921474, -401.08244220191114, 114.80653555368049, -1.5947953537564281)
