====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
====================== SUCCESS ======================
('min', -1332.943388054304, -241.6542984441005, -187.69794077221397)
('max', -1285.557615788301, -226.26209614209637, -184.84186693124207)
('dlp', -1324.869318655625, -229.1354553116047, -203.13881520546286, 19.441442736308765)
27.796268463134766
(0, -1323.1275936307127, -428.50332402794453, -184.08324048559484, 0.0)
(0.03961014747619629, -1323.5493307754234, -428.8807716973181, -184.31029696945066, 0.14836382479819932)
(0.07960247993469238, -1323.5493307754234, -428.8807716973181, -184.31029696945066, 0.14836382479819932)
(0.11948156356811523, -1323.5493307754234, -428.8807716973181, -184.31029696945066, 0.14836382479819932)
(0.15943288803100586, -1323.5493307754234, -428.8807716973181, -184.31029696945066, 0.14620424016049505)
(0.19980525970458984, -1323.5493307754234, -428.8807716973181, -184.31029696945066, 0.14620424016049505)
(0.23955178260803223, -1323.8648555977356, -429.1525366221551, -184.9182638127747, 0.1087291870206446)
(0.2797262668609619, -1323.8648555977356, -429.1525366221551, -184.9182638127747, 0.1087291870206446)
(0.3197500705718994, -1323.8648555977356, -429.1525366221551, -184.9182638127747, 0.1087291870206446)
(0.35968565940856934, -1323.8648555977356, -429.1525366221551, -184.9182638127747, 0.08999426036787561)
(0.3995325565338135, -1323.8648555977356, -429.1525366221551, -184.9182638127747, 0.08999426036787561)
(0.4398984909057617, -1324.1447385344084, -429.2830157755089, -186.4275016966124, 0.03959033746081353)
(0.48003673553466797, -1324.1447385344084, -429.2830157755089, -186.4275016966124, 0.03959033746081353)
(0.5198314189910889, -1324.1447385344084, -429.2830157755089, -186.4275016966124, 0.03959033746081353)
(0.5598776340484619, -1324.1447385344084, -429.2830157755089, -186.4275016966124, 0.025535876474847896)
(0.5997669696807861, -1324.1447385344084, -429.2830157755089, -186.4275016966124, 0.025535876474847896)
(0.6401534080505371, -1324.544443865063, -429.2498126347845, -189.27711932162654, 0.003952380537173283)
(0.6800851821899414, -1324.544443865063, -429.2498126347845, -189.27711932162654, 0.003952380537173283)
(0.7202293872833252, -1324.544443865063, -429.2498126347845, -189.27711932162654, 0.003952380537173283)
(0.7602047920227051, -1324.544443865063, -429.2498126347845, -189.27711932162654, 0.026875017012379487)
(0.8000881671905518, -1324.544443865063, -429.2498126347845, -189.27711932162654, 0.026875017012379487)
(0.840611457824707, -1324.544443865063, -429.2498126347845, -189.27711932162654, 0.026875017012379487)
(0.8804173469543457, -1324.7154116297252, -429.0421167612134, -193.12626465277106, 0.03769513713214678)
(0.9204938411712646, -1324.7154116297252, -429.0421167612134, -193.12626465277106, 0.03769513713214678)
(0.9603056907653809, -1324.7154116297252, -429.0421167612134, -193.12626465277106, 0.06352996667100008)
(1.0002789497375488, -1325.2889229328125, -429.2299679956112, -197.49125669900937, 0.08953197268006363)
(1.0404877662658691, -1325.2889229328125, -429.2299679956112, -197.49125669900937, 0.08953197268006363)
(1.0806736946105957, -1325.2889229328125, -429.2299679956112, -197.49125669900937, 0.08953197268006363)
(1.1205921173095703, -1325.2889229328125, -429.2299679956112, -197.49125669900937, 0.08565041707134746)
(1.1605031490325928, -1325.2889229328125, -429.2299679956112, -197.49125669900937, 0.08565041707134746)
(1.2003693580627441, -1325.3504604772488, -429.4242403981224, -201.07818776577622, 0.09754664694249549)
