====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
====================== SUCCESS ======================
('min', -135.66082410982548, 133.068168758346, 73.96727334650762)
('max', -78.95955969109778, 155.8085689842514, 76.29161448471156)
('dlp', -118.85870219717891, 147.18808140703212, 58.93574882075927, 20.267797213489782)
28.195619583129883
(0, -117.27698491218987, -58.100319110439386, 74.6835526147724, 0.0)
(0.03927922248840332, -117.27698491218987, -58.100319110439386, 74.6835526147724, 0.39023646909897813)
(0.07908821105957031, -117.27698491218987, -58.100319110439386, 74.6835526147724, 0.39023646909897813)
(0.11908197402954102, -117.34820318611312, -57.949583206112536, 74.89535636122136, 0.833725693328816)
(0.15960144996643066, -117.34820318611312, -57.949583206112536, 74.89535636122136, 0.833725693328816)
(0.19938874244689941, -117.34820318611312, -57.949583206112536, 74.89535636122136, 0.833725693328816)
(0.2393019199371338, -117.34820318611312, -57.949583206112536, 74.89535636122136, 1.0757242181932583)
(0.27930760383605957, -117.34820318611312, -57.949583206112536, 74.89535636122136, 1.0757242181932583)
(0.3193023204803467, -117.58036309478489, -58.20559481781675, 74.2988136421437, 1.372783580111772)
(0.35956311225891113, -117.58036309478489, -58.20559481781675, 74.2988136421437, 1.372783580111772)
(0.39960789680480957, -117.58036309478489, -58.20559481781675, 74.2988136421437, 1.372783580111772)
(0.4394524097442627, -117.58036309478489, -58.20559481781675, 74.2988136421437, 1.684219244737756)
(0.47957801818847656, -117.58036309478489, -58.20559481781675, 74.2988136421437, 1.684219244737756)
(0.5194039344787598, -117.71062076962617, -58.396033285302494, 72.61083635126401, 1.9785796824139883)
(0.5596926212310791, -117.71062076962617, -58.396033285302494, 72.61083635126401, 1.9785796824139883)
(0.5997321605682373, -117.71062076962617, -58.396033285302494, 72.61083635126401, 1.9785796824139883)
(0.6396136283874512, -117.71062076962617, -58.396033285302494, 72.61083635126401, 2.340282888452114)
(0.6796069145202637, -117.71062076962617, -58.396033285302494, 72.61083635126401, 2.340282888452114)
(0.7195713520050049, -117.71062076962617, -58.396033285302494, 72.61083635126401, 2.340282888452114)
(0.759871244430542, -117.9047892915379, -58.60031923739059, 69.50591693157995, 2.7383730371012103)
(0.8000271320343018, -117.9047892915379, -58.60031923739059, 69.50591693157995, 2.7383730371012103)
(0.839968204498291, -117.9047892915379, -58.60031923739059, 69.50591693157995, 3.167855285407418)
(0.8797435760498047, -117.9047892915379, -58.60031923739059, 69.50591693157995, 3.167855285407418)
(0.9197244644165039, -117.9047892915379, -58.60031923739059, 69.50591693157995, 3.167855285407418)
(0.9598042964935303, -117.73803062066152, -58.20374896119651, 65.90701457598018, 3.6233666003343217)
(1.0001177787780762, -117.73803062066152, -58.20374896119651, 65.90701457598018, 3.6233666003343217)
(1.0404539108276367, -117.73803062066152, -58.20374896119651, 65.90701457598018, 4.084885845787634)
(1.080268144607544, -117.73803062066152, -58.20374896119651, 65.90701457598018, 4.084885845787634)
(1.12030029296875, -117.73803062066152, -58.20374896119651, 65.90701457598018, 4.084885845787634)
(1.1605660915374756, -117.58278416321617, -57.60609510413147, 62.74843474727672, 4.381684948932614)
(1.2003231048583984, -117.58278416321617, -57.60609510413147, 62.74843474727672, 4.381684948932614)
(1.2404649257659912, -117.58278416321617, -57.60609510413147, 62.74843474727672, 4.311126489402941)
