====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
====================== SUCCESS ======================
('min', -180.5627158095445, 121.47180404511788, 125.87485323604324)
('max', -114.19225812086144, 135.61358074791553, 129.90354675820262)
('dlp', -157.6542471750606, 128.70481152979397, 110.50771313799164, 13.889642130000631)
28.414297103881836
(0, -147.9889255943667, -100.21344133033229, 127.7896583665683, -0.1323563507319676)
(0.0391082763671875, -147.9889255943667, -100.21344133033229, 127.7896583665683, -0.1323563507319676)
(0.0796513557434082, -147.9889255943667, -100.21344133033229, 127.7896583665683, -0.1323563507319676)
(0.11925292015075684, -148.34350804170555, -100.53292916745396, 127.62389004399735, -0.1709960907500907)
(0.15950560569763184, -148.34350804170555, -100.53292916745396, 127.62389004399735, -0.1709960907500907)
(0.19948816299438477, -148.34350804170555, -100.53292916745396, 127.62389004399735, -0.1372954147660188)
(0.23930668830871582, -148.34350804170555, -100.53292916745396, 127.62389004399735, -0.1372954147660188)
(0.2799515724182129, -148.34350804170555, -100.53292916745396, 127.62389004399735, -0.1372954147660188)
(0.31972360610961914, -148.47396778779475, -100.19566415069221, 127.5386677816806, -0.12544205600182323)
(0.3601078987121582, -148.47396778779475, -100.19566415069221, 127.5386677816806, -0.12544205600182323)
(0.3999974727630615, -148.47396778779475, -100.19566415069221, 127.5386677816806, -0.10835830418957926)
(0.43991780281066895, -148.47396778779475, -100.19566415069221, 127.5386677816806, -0.10835830418957926)
(0.4801766872406006, -148.47396778779475, -100.19566415069221, 127.5386677816806, -0.10835830418957926)
(0.5203101634979248, -148.51498976263815, -100.04336688437415, 126.41454450018162, -0.10955663807715155)
(0.5605461597442627, -148.51498976263815, -100.04336688437415, 126.41454450018162, -0.10955663807715155)
(0.600426197052002, -148.51498976263815, -100.04336688437415, 126.41454450018162, -0.11732291815155094)
(0.6402065753936768, -148.51498976263815, -100.04336688437415, 126.41454450018162, -0.11732291815155094)
(0.6805744171142578, -148.51498976263815, -100.04336688437415, 126.41454450018162, -0.11732291815155094)
(0.7206203937530518, -148.70507165072854, -99.77477649952155, 124.46261822510004, -0.14553301890828507)
(0.7605359554290771, -148.70507165072854, -99.77477649952155, 124.46261822510004, -0.14553301890828507)
(0.8005332946777344, -148.70507165072854, -99.77477649952155, 124.46261822510004, -0.14553301890828507)
(0.8404004573822021, -148.70507165072854, -99.77477649952155, 124.46261822510004, -0.1491005012272204)
(0.8809282779693604, -148.70507165072854, -99.77477649952155, 124.46261822510004, -0.1491005012272204)
(0.9207751750946045, -148.4205007298549, -99.52184128116818, 122.57651319595045, -0.151752538468358)
(0.9606008529663086, -148.4205007298549, -99.52184128116818, 122.57651319595045, -0.151752538468358)
(1.000537395477295, -148.4205007298549, -99.52184128116818, 122.57651319595045, -0.151752538468358)
(1.0405018329620361, -148.4205007298549, -99.52184128116818, 122.57651319595045, -0.11548918360653815)
(1.0808284282684326, -148.4205007298549, -99.52184128116818, 122.57651319595045, -0.11548918360653815)
(1.1209197044372559, -148.42044763836768, -99.20036234515382, 120.72713591264092, -0.11516413320187269)
(1.1608448028564453, -148.42044763836768, -99.20036234515382, 120.72713591264092, -0.11516413320187269)
(1.2008237838745117, -148.42044763836768, -99.20036234515382, 120.72713591264092, -0.11516413320187269)
