====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
====================== SUCCESS ======================
('min', -270.15863496971247, -72.79088624346292, 8.071387927664073)
('max', -218.11284875710612, -57.776258786560305, 10.788766687990005)
('dlp', -248.82979199067165, -65.78772667259992, -6.477475785893832, 17.257000077665488)
30.638480186462402
(0, -249.68334121314976, -288.60977173172455, 10.43664711653619, -0.017034538968172086)
(0.039220571517944336, -249.42607984254877, -288.601406432483, 10.325373218511093, -0.017034538968172086)
(0.07901334762573242, -249.42607984254877, -288.601406432483, 10.325373218511093, -0.14419482445244292)
(0.11907172203063965, -249.42607984254877, -288.601406432483, 10.325373218511093, -0.14419482445244292)
(0.1594095230102539, -249.42607984254877, -288.601406432483, 10.325373218511093, -0.14419482445244292)
(0.199188232421875, -249.47962047796497, -288.8600299362493, 9.868961579384221, -0.16129250583182575)
(0.23906874656677246, -249.47962047796497, -288.8600299362493, 9.868961579384221, -0.16129250583182575)
(0.2791097164154053, -249.47962047796497, -288.8600299362493, 9.868961579384221, -0.16129250583182575)
(0.3193638324737549, -249.47962047796497, -288.8600299362493, 9.868961579384221, -0.1384294818298688)
(0.3594028949737549, -249.47962047796497, -288.8600299362493, 9.868961579384221, -0.1384294818298688)
(0.3993532657623291, -249.43136318775464, -289.1619979216379, 9.001288640094812, -0.1510460460826213)
(0.4393913745880127, -249.43136318775464, -289.1619979216379, 9.001288640094812, -0.1510460460826213)
(0.4793210029602051, -249.43136318775464, -289.1619979216379, 9.001288640094812, -0.1510460460826213)
(0.5194339752197266, -249.43136318775464, -289.1619979216379, 9.001288640094812, -0.13225955516814025)
(0.5594797134399414, -249.43136318775464, -289.1619979216379, 9.001288640094812, -0.13225955516814025)
(0.5998611450195312, -249.4170031197002, -289.5784041856998, 7.553227791707418, -0.14733352593687954)
(0.6398186683654785, -249.4170031197002, -289.5784041856998, 7.553227791707418, -0.14733352593687954)
(0.6792523860931396, -249.4170031197002, -289.5784041856998, 7.553227791707418, -0.14733352593687954)
(0.719719409942627, -249.4170031197002, -289.5784041856998, 7.553227791707418, -0.1336681632776333)
(0.7599151134490967, -249.4170031197002, -289.5784041856998, 7.553227791707418, -0.1336681632776333)
(0.7999756336212158, -249.55699231112024, -290.01829440613096, 5.822335722990044, -0.16098608171791895)
(0.8399155139923096, -249.55699231112024, -290.01829440613096, 5.822335722990044, -0.16098608171791895)
(0.8798613548278809, -249.55699231112024, -290.01829440613096, 5.822335722990044, -0.16098608171791895)
(0.9200539588928223, -249.55699231112024, -290.01829440613096, 5.822335722990044, -0.11502222454711308)
(0.9601306915283203, -249.55699231112024, -290.01829440613096, 5.822335722990044, -0.11502222454711308)
(1.0001404285430908, -249.64840330165674, -290.27339093209474, 4.188169363802462, -0.13225504613970784)
(1.0400211811065674, -249.64840330165674, -290.27339093209474, 4.188169363802462, -0.13225504613970784)
(1.0799620151519775, -249.64840330165674, -290.27339093209474, 4.188169363802462, -0.13225504613970784)
(1.1201579570770264, -249.64840330165674, -290.27339093209474, 4.188169363802462, -0.14693257368577584)
(1.1605720520019531, -249.64840330165674, -290.27339093209474, 4.188169363802462, -0.14693257368577584)
(1.2004477977752686, -249.60188504577923, -290.4681953278087, 1.9694341066267251, -0.16797036422763512)
