====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
====================== SUCCESS ======================
('min', -469.09341012524465, 184.18381295080107, -110.36079563510414)
('max', -419.8950838125362, 197.7921145531146, -107.95455704251614)
('dlp', -453.3322447737438, 190.19414615848956, -126.36079563510414, 16.197196590674757)
25.41792392730713
(0, -453.1558819979033, -18.142031806581976, -111.7956261417468, 0.0)
(0.03922104835510254, -453.1558819979033, -18.142031806581976, -111.7956261417468, 0.0)
(0.0790708065032959, -453.1558819979033, -18.142031806581976, -111.7956261417468, 0.0)
(0.11921453475952148, -453.1764657302442, -17.60815764900923, -111.81347874443023, -0.47216390115200113)
(0.15901470184326172, -453.1764657302442, -17.60815764900923, -111.81347874443023, -0.47216390115200113)
(0.1992793083190918, -453.1764657302442, -17.60815764900923, -111.81347874443023, -0.9293430533740796)
(0.23994851112365723, -453.27454684118715, -16.99703376840501, -111.76005516942575, -1.154223984461785)
(0.279569149017334, -453.27454684118715, -16.99703376840501, -111.76005516942575, -1.154223984461785)
(0.31955718994140625, -453.27454684118715, -16.99703376840501, -111.76005516942575, -1.154223984461785)
(0.3596024513244629, -453.27454684118715, -16.99703376840501, -111.76005516942575, -1.2491616795481555)
(0.3995168209075928, -453.27454684118715, -16.99703376840501, -111.76005516942575, -1.2491616795481555)
(0.439389705657959, -453.41830447026837, -16.88495220278056, -112.28600275873175, -1.264287162499004)
(0.4795384407043457, -453.41830447026837, -16.88495220278056, -112.28600275873175, -1.264287162499004)
(0.5198822021484375, -453.41830447026837, -16.88495220278056, -112.28600275873175, -1.264287162499004)
(0.5597198009490967, -453.41830447026837, -16.88495220278056, -112.28600275873175, -1.211446961055449)
(0.599708080291748, -453.41830447026837, -16.88495220278056, -112.28600275873175, -1.211446961055449)
(0.6396431922912598, -453.47625631113334, -17.041451458518864, -114.15615256487905, -1.1469367646797437)
(0.6798043251037598, -453.47625631113334, -17.041451458518864, -114.15615256487905, -1.1469367646797437)
(0.7199091911315918, -453.47625631113334, -17.041451458518864, -114.15615256487905, -1.1469367646797437)
(0.7598934173583984, -453.47625631113334, -17.041451458518864, -114.15615256487905, -1.0999587721027542)
(0.799708366394043, -453.74323483981, -17.08216037193032, -117.35103300586036, -1.0582291126046695)
(0.8396720886230469, -453.74323483981, -17.08216037193032, -117.35103300586036, -1.0582291126046695)
(0.8796892166137695, -453.74323483981, -17.08216037193032, -117.35103300586036, -1.0582291126046695)
(0.9199795722961426, -453.74323483981, -17.08216037193032, -117.35103300586036, -1.003232863050716)
(0.9599831104278564, -453.74323483981, -17.08216037193032, -117.35103300586036, -1.003232863050716)
(0.9999372959136963, -453.74323483981, -17.08216037193032, -117.35103300586036, -1.003232863050716)
(1.0399832725524902, -453.74323483981, -17.08216037193032, -117.35103300586036, -1.003232863050716)
(1.0801270008087158, -453.74323483981, -17.08216037193032, -117.35103300586036, -1.003232863050716)
(1.1199610233306885, -454.0098962388249, -17.162167460602298, -121.04856788017074, -0.961345705971123)
(1.1600470542907715, -454.0098962388249, -17.162167460602298, -121.04856788017074, -0.9660905153280783)
(1.1999926567077637, -454.0098962388249, -17.162167460602298, -121.04856788017074, -0.9660905153280783)
(1.2400197982788086, -454.3505055170391, -17.008958815507064, -123.68589183751521, -0.9862938448291896)
