====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
====================== SUCCESS ======================
('min', -265.8977177864362, 84.63886446907577, -90.036368018047)
('max', -218.72416463839005, 94.36197975818189, -88.96399911875093)
('dlp', -242.99257602234513, 88.92299572672786, -104.96399911875093, 11.50160424028537)
25.50884485244751
(0, -257.02316569825035, -122.36813244668602, -84.46982187594571, 0.0)
(0.03975486755371094, -257.02316569825035, -122.36813244668602, -84.46982187594571, 0.0)
(0.07973837852478027, -257.02316569825035, -122.36813244668602, -84.46982187594571, -0.3249011598452505)
(0.11939334869384766, -257.02316569825035, -122.36813244668602, -84.46982187594571, -0.3249011598452505)
(0.15918469429016113, -256.56018358285087, -121.92785023256192, -84.69911978140169, -0.022552551630326434)
(0.1992051601409912, -256.56018358285087, -121.92785023256192, -84.69911978140169, -0.022552551630326434)
(0.23954510688781738, -256.56018358285087, -121.92785023256192, -84.69911978140169, 0.31628490601560166)
(0.2796664237976074, -256.56018358285087, -121.92785023256192, -84.69911978140169, 0.31628490601560166)
(0.31964802742004395, -256.56018358285087, -121.92785023256192, -84.69911978140169, 0.31628490601560166)
(0.3593788146972656, -256.1212805965753, -122.05288762735867, -85.24202410253467, 0.6970281467901476)
(0.39933085441589355, -256.1212805965753, -122.05288762735867, -85.24202410253467, 0.6970281467901476)
(0.43993473052978516, -256.1212805965753, -122.05288762735867, -85.24202410253467, 1.0685122959245383)
(0.47974205017089844, -256.1212805965753, -122.05288762735867, -85.24202410253467, 1.0685122959245383)
(0.5199563503265381, -256.1212805965753, -122.05288762735867, -85.24202410253467, 1.0685122959245383)
(0.5599253177642822, -255.8614746336943, -122.81806235570554, -86.91717210948883, 1.356516260173894)
(0.5997540950775146, -255.8614746336943, -122.81806235570554, -86.91717210948883, 1.356516260173894)
(0.6397445201873779, -255.8614746336943, -122.81806235570554, -86.91717210948883, 1.605067992699487)
(0.6800744533538818, -255.8614746336943, -122.81806235570554, -86.91717210948883, 1.605067992699487)
(0.7200937271118164, -255.8614746336943, -122.81806235570554, -86.91717210948883, 1.605067992699487)
(0.7599301338195801, -255.6936570523678, -123.17591604447975, -89.48070050102524, 1.8314834342827133)
(0.7998495101928711, -255.6936570523678, -123.17591604447975, -89.48070050102524, 1.8314834342827133)
(0.8399503231048584, -255.6936570523678, -123.17591604447975, -89.48070050102524, 2.0653674844365426)
(0.8800833225250244, -255.6936570523678, -123.17591604447975, -89.48070050102524, 2.0653674844365426)
(0.9201245307922363, -255.6936570523678, -123.17591604447975, -89.48070050102524, 2.0653674844365426)
(0.9600367546081543, -255.49395295916702, -123.26995967528869, -91.90851753982447, 2.353623002851272)
(1.000098705291748, -255.49395295916702, -123.26995967528869, -91.90851753982447, 2.353623002851272)
(1.040043830871582, -255.49395295916702, -123.26995967528869, -91.90851753982447, 2.353623002851272)
(1.0802011489868164, -255.49395295916702, -123.26995967528869, -91.90851753982447, 2.632570905857639)
(1.1203856468200684, -255.49395295916702, -123.26995967528869, -91.90851753982447, 2.632570905857639)
(1.1601264476776123, -255.09993567420852, -123.42100734275246, -94.13499482025551, 2.8726744893070695)
(1.2002146244049072, -255.09993567420852, -123.42100734275246, -94.13499482025551, 2.8726744893070695)
(1.2404627799987793, -255.09993567420852, -123.42100734275246, -94.13499482025551, 2.8726744893070695)
