====================== HEADER ======================
Odometry data will folow format (time, x, y, z, yaw)
Landing site: (-1, x, y, z, yaw)
X = left and right
Y = foraward backward
Z = height
====================== SUCCESS ======================
('min', -341.8316489332642, 77.99485464623747, -41.72036324715987)
('max', -293.58344834785197, 96.48666603321534, -39.952572929624466)
('dlp', -326.70584113738124, 89.94687907928413, -57.72036324715987, 22.63103697487595)
25.454115867614746
(0, -318.14471574612804, -123.13146939766715, -39.89930592751875, 0.0)
(0.04168128967285156, -318.14471574612804, -123.13146939766715, -39.89930592751875, 0.23167584400465557)
(0.07438015937805176, -318.14471574612804, -123.13146939766715, -39.89930592751875, 0.23167584400465557)
(0.11440658569335938, -318.1224159989663, -123.31684473509179, -40.345695816911004, 0.5481190713228337)
(0.15697813034057617, -318.1224159989663, -123.31684473509179, -40.345695816911004, 0.5481190713228337)
(0.20013976097106934, -318.1224159989663, -123.31684473509179, -40.345695816911004, 0.5481190713228337)
(0.2402489185333252, -318.1224159989663, -123.31684473509179, -40.345695816911004, 0.5805955772349485)
(0.27973389625549316, -318.1224159989663, -123.31684473509179, -40.345695816911004, 0.5805955772349485)
(0.31456708908081055, -318.4948884631542, -123.21510169819078, -40.93243430669807, 0.6225069594222425)
(0.355968713760376, -318.4948884631542, -123.21510169819078, -40.93243430669807, 0.6225069594222425)
(0.40024781227111816, -318.4948884631542, -123.21510169819078, -40.93243430669807, 0.6225069594222425)
(0.44157838821411133, -318.4948884631542, -123.21510169819078, -40.93243430669807, 0.6535189349395019)
(0.47472572326660156, -318.4948884631542, -123.21510169819078, -40.93243430669807, 0.6535189349395019)
(0.5147769451141357, -318.8793109104123, -123.40326750386774, -42.771824371180706, 0.6653146731138868)
(0.5553960800170898, -318.8793109104123, -123.40326750386774, -42.771824371180706, 0.6653146731138868)
(0.599600076675415, -318.8793109104123, -123.40326750386774, -42.771824371180706, 0.6653146731138868)
(0.6411154270172119, -318.8793109104123, -123.40326750386774, -42.771824371180706, 0.6466326779003744)
(0.6751885414123535, -318.8793109104123, -123.40326750386774, -42.771824371180706, 0.6466326779003744)
(0.7151710987091064, -318.8793109104123, -123.40326750386774, -42.771824371180706, 0.6466326779003744)
(0.7555217742919922, -319.15654008935, -123.6756991340368, -45.665320055500146, 0.6497084649700824)
(0.7955994606018066, -319.15654008935, -123.6756991340368, -45.665320055500146, 0.6497084649700824)
(0.8360025882720947, -319.15654008935, -123.6756991340368, -45.665320055500146, 0.6524084265662644)
(0.8757007122039795, -319.15654008935, -123.6756991340368, -45.665320055500146, 0.6524084265662644)
(0.91556715965271, -319.15654008935, -123.6756991340368, -45.665320055500146, 0.6524084265662644)
(0.9563117027282715, -319.2840162532469, -123.47866052461671, -48.75226658647515, 0.6377642065681144)
(0.9960165023803711, -319.2840162532469, -123.47866052461671, -48.75226658647515, 0.6102764698528951)
(1.0360822677612305, -319.2840162532469, -123.47866052461671, -48.75226658647515, 0.6102764698528951)
(1.0758192539215088, -319.2840162532469, -123.47866052461671, -48.75226658647515, 0.6102764698528951)
(1.115778923034668, -319.1502739108655, -123.1819175592305, -51.65553281013429, 0.592551560988273)
(1.1561393737792969, -319.1502739108655, -123.1819175592305, -51.65553281013429, 0.592551560988273)
(1.1961205005645752, -319.1502739108655, -123.1819175592305, -51.65553281013429, 0.5487417734683078)
(1.2360992431640625, -319.1502739108655, -123.1819175592305, -51.65553281013429, 0.5487417734683078)
